stroke_count,radical,meaning,variants,note,is_new
7,舛,opposite,,,0
7,見,see,,,0
7,角,horn,,,0
7,言 ,speech,訁,,0
7,谷,valley,,,0
7,豆,bean,,,0
7,豕,pig,,,0
7,豸,cat,,,0
7,貝,shell,,,0
7,赤,red,,,0
7,走 ,run,赱,,0
7,足 ,foot,⻊,,0
7,身,body,,,0
7,車,cart,,,0
7,辛,spicy,,,0
7,辰,morning,,,0
7,酉,sake,,,0
7,釆,divide,,,0
7,里,village,,,0
7,麦 ,wheat,麥,,0
8,金 ,metal,釒,,0
8,長 ,long,镸,,0
8,門,gate,,,0
8,隶,slave,,,0
8,隹,old bird,,,0
8,雨 ,rain,⻗,,0
8,青 ,green,靑,,0
8,非,wrong,,,0
8,奄,,From 大 + 电.,1
8,岡,,岡 = 冂 + 䒑 + 山,1
8,免,,免 = ⺈ + 口 + ｜ + 儿,1
8,斉,,Variant of 齊.,1
9,面 ,face,靣,,0
9,革,leather,,,0
9,韭,leek,,,0
9,音,sound,,,0
9,頁,big shell,,,0
9,風 ,wind,𠘨,,0
9,飛,fly,,,0
9,食 ,eat,飠/ 𩙿,,0
9,首,neck,,,0
9,香,fragrant,,,0
9,品,,Variant of 口.,1
10,韋,tanned leather,,,0
10,馬,horse,,,0
10,骨,bone,,,0
10,高 ,tall,髙,,0
10,髟,hair,,,0
10,鬥,fight,,,0
10,鬯,herbs,,,0
10,鬲,tripod,,,0
10,鬼,ghost,,,0
10,竜 ,dragon,龍,,0
11,魚,fish,,,0
11,鳥,bird,,,0
11,鹵,salt,,,0
11,鹿,deer,,,0
11,麻,hemp,,,0
11,黄 ,yellow,黃,,0
11,黒 ,black,黑,,0
11,亀 ,turtle,龜,,0
11,啇,,啇 = 立 + 冂 + 古 (十 + 口),1
12,黍,millet,,,0
12,黹,embroidery,,,0
12,歯 ,tooth,齒,,0
12,無,,Variant of 无.,1
13,黽,frog,,,0
13,鼎,sacrificial tripod,,,0
13,鼓,drum,,,0
13,鼠,rat,,,0
14,鼻,nose,,,0
14,齊,even,,,0
17,龠,flute,,,0

