亠人,劾該骸核峡挟狭賛爽卒替
口衣,哀園猿遠環還唇喪衷褒
口言,詰謹警語誤詞諮詔説諾調話
口豕,豪象像
口貝,遺員韻唄賀額顎貴償賞損潰貼頭賠噴頼賂
口辛,辞避壁癖璧辣
口金,鋭鉛銅鍋銘錮
口門,閲閣闘問
口隹,確礁難躍唯
口頁,額顎頭頼
口馬,騎驚駒験
口韋,偉緯違衛韓
囗大,咽因姻恩圏
土大,規喫契鶏埼秩墓
土宀,害割轄憲塞室窒
土寸,詩侍寺持時樹待鋳等特封
土尸,握屋塀壁堀
土彳,街径待徒
土阡,堕墜陛陸陵
土戈,域越栽裁載城繊戴
土攵,赦致傲緻
土日,垣境時場晴籍潜増壇堤墓
土月,脚情晴清精請青静塑堕膨
土木,耕栽樹籍塗
土爪,渓鶏墾
土田,塊増戴塁
土立,境執培壁報
土糸,経潔績繊素緻
土衣,園猿遠壊裁壌
土言,謹詩請調
土貝,債積績責漬墳
土車,轄軽載
土辛,執壁報
士爿,壮荘装
士王,淫廷任妊
士衣,装俵表
士言,詰誌読
夂彳,後復覆履
夂阡,降隆陵
夂心,愛慶優悠憂曖
夂日,復腹複覆履曖
夂爪,愛緩曖
夂糸,緩終縫絡
夕舛,傑瞬舞隣
大宀,寄実突
大已,巻圏遷
大心,恩添慕
大日,映替漠募墓慕暮幕膜模
大月,勝朕膜
大木,椅棒模
大禾,笑奏秩
大隹,奪難奮
女宀,安案宴嫁
女ヨ,嫌妻凄婦
女木,案桜媒妹楼
宀小,寂賓寮
宀山,窟崇密
宀心,憲窓寧密蜜
宀日,宴宣宙寮
宀田,演審宙富
宀疋,錠綻定
宀示,察擦宗崇踪
宀豕,嫁家稼
宀貝,額貯賓
寸爪,爵奨将
寸田,専博薄縛簿
寸竹,等符簿
寸言,詩謝討
寸酉,遵尊酎
小日,影景隙僚寮療瞭憬
小止,歳渉捗頻歩
小白,願原源
小目,懸県省督瞭
小貝,願賓頻
尸山,屈掘窟堀
尸日,層昼届履
尸立,避壁癖璧
尸辛,避壁癖璧
山彳,徴懲微
山攵,徴懲微
工弋,試式拭
巾ヨ,帰掃婦
巾攵,幣弊蔽
巾木,柿策刺
巾立,帝締諦
幺戈,幾機畿
幺田,畿畜蓄
广ヨ,康唐庸廉
广木,床摩磨魔麻暦歴麓
广比,鹿麗麓
廴王,庭廷艇
廴聿,健建鍵
廾文,済斎剤斉
廾日,横暁昇
ヨ心,隠穏急
ヨ水,康粛逮緑隷録
ヨ隶,康粛逮緑隷録
ヨ隹,濯躍曜
彡木,彩杉鬱
彳攵,徴懲徹微
彳日,衝得復覆履
彳王,往徴懲
邦艮,郷響廊郎
阡日,陥隅隙障陳陽
心戈,感憾惑
心日,意億憶臆慕曖
心月,臆態癒
心爪,愛穏懇曖
心田,愚恵思穂慮
心禾,穏愁秘穂
心立,意億憶臆
心自,憩息憂
心音,意億憶臆
戈手,我餓儀犠義議
戈日,識織職
戈木,械機栽
戈王,儀犠義議
戈田,畿戦戴
戈立,識織職
戈羊,儀犠義議
戈言,議識誠
戈音,識織職
戸冊,偏編遍
手王,儀犠義議
手羊,儀犠義議
攵方,激敷倣放傲
攵月,散徹撤
攵木,条整枚
斤木,新薪析栃
斤車,斬暫漸
日月,臆脂腫晴胆朝潮腸腹膜明盟嘲
日木,横梗籍槽陳凍東棟昧模薬欄暦練錬
日水,踏爆暴
日爪,稲暖曖
日勿,易賜傷場腸湯揚陽
日疋,是題堤提
日目,帽冒瞭
日禾,稲稽香種
日立,暗闇意韻億憶臆音境鏡響識彰章障織職
日竹,簡籍笛箸
日糸,緒織紳練
日耳,最撮職
日言,謁詣識諸譜
日貝,韻顕賜贈題賭
日里,種腫重衝動糧量
日金,鏡錯錬
日門,闇簡間欄
月水,腺藤膝
月立,臆襲籠
月言,請謄諭
木止,整疎歴
木水,漆膝様
木爪,彩採采菜
木牛,株朱殊珠
木王,業珠栓柱様
木甘,棋媒某謀
木田,横果菓課巣陳凍東棟魔魅裸欄練錬彙
木目,査植想相霜箱
木示,禁襟標
木立,新薪親辣
木竹,策籍築箱
木耒,業耕籍耗
木辛,新薪親辣
木隹,権雑集椎
木品,繰操燥藻
殳舟,搬般盤
比白,皆階楷諧
水白,泉線腺
水隶,康粛逮緑隷録
爪艮,墾懇爵
王言,議詳詮
田米,審藩番翻
田糸,細紳縄縛累練
田虍,膚慮虜
田釆,審藩番翻
疋矢,擬疑凝
癶示,祭際察擦
白糸,縮線綿
皿臣,監艦鑑濫藍
矢隹,勧歓観権
示西,標漂票
立貝,韻顔賠
立里,鐘憧瞳童
牙艮,慨概既
衣辰,辱唇娠振震濃農
