一 ichi "one; best"
普及 fukyuu "diffusion, spread, popularization, promulgation, familiarization"
言及 genkyuu "reference, allusion"
弓 yumi "bow (weapon); archery"
弓道 kyuudou "(Japanese) archery"
真弓 mayumi "Japanese spindle tree (Euonymus sieboldianus)"
頭巾 zukin "hood, kerchief"
雑巾 zoukin "house-cloth, dust cloth"
巾着 kinchaku "drawstring purse, money pouch; pouch of fried tofu stuffed with var. ingredients, used in oden"
自己 jiko "self, oneself"
己 onore "I, me; by oneself (itself, etc.)"
利己 riko self-interest
口 kuchi "mouth; opening, hole, gap, orifice"
人口 jinkou "population; common talk"
口座 kouza "account (e.g. bank)"
工場 koujou "factory, plant, mill, workshop"
工事 kouji "construction work"
工夫 kufuu "scheme, device, scheming, devising, figuring out, coming up with, solving ingeniously; dedication to spiritual improvement (esp. through Zen meditation)"
乞食 kojiki "beggar; begging"
物乞い monogoi "beggar, begging"
雨乞い amagoi "praying for rain"
才能 sainou "talent, ability"
天才 tensai "genius, prodigy, natural gift"
才 sai "ability, gift, talent, aptitude, genius; sai"
三 san "three; tri-"
三つ mittsu three
三角 sankaku "triangle, triangular shape"
山 yama "mountain, hill; mine (e.g. coal mine)"
沢山 takusan "a lot, lots, plenty, many, a large number, much, a great deal, a good deal; enough, sufficient"
登山 tozan "mountain climbing"
同士 doushi "fellow, mutual, companion, comrade"
士 shi "man (esp. one who is well-respected); samurai"
博士 hakase "expert, learned person; doctor, PhD, Dr."
子供 kodomo child
子 ko "child; young (animal)"
様子 yousu "state, state of affairs, situation, circumstances; appearance, look, aspect"
彼女 kanojo "she, her; girlfriend"
女性 josei "woman, female; feminine gender"
女 onna "female, woman, female sex; female lover, girlfriend, mistress, (someone's) woman"
小さな chiisana "small, little, tiny"
小さい chiisai "small, little, tiny; slight, below average (in degree, amount, etc.), minor, small"
小 shou "smallness, small item; short month (i.e. having fewer than 31 days)"
上 ue "above, up, over, elder (e.g. daughter); top, summit, head (e.g. of a staircase)"
以上 ijou "not less than, ... and more, ... and upwards; beyond ... (e.g. one's means), further (e.g. nothing further to say), more than ... (e.g. cannot pay more than that)"
上げ age "tuck (e.g. in a dress); rise (e.g. in price)"
大丈夫 daijoubu "safe, secure, sound, problem-free, without fear, all right, alright, OK, okay; certainly, surely, undoubtedly"
丈 dake "only, just, merely, simply, no more than, nothing but, alone; as much as, to the extent of, enough to"
丈夫 joubu "healthy, robust, strong, solid, durable"
刃 ha "edge (of a knife or sword); prong (of an electrical plug)"
刃物 hamono "edged tool, cutlery"
諸刃 moroha "double-edged; double-edged blade"
寸前 sunzen "just before, on the verge of, on the brink of; just in front of, just ahead of"
寸法 sunpou "measurement, size, extent, dimension; plan, intention, arrangement, schedule"
一寸 issun "one sun (approx. 3.03 cm); little bit (of time, distance, etc.)"
夕方 yuugata "evening, dusk"
夕食 yuushoku "evening meal, dinner"
夕飯 yuuhan "evening meal"
千 sen "1,000, thousand"
千葉 chiba "Chiba (city)"
千秋楽 senshuuraku "concluding festivities, concluding program, concluding programme; final day of a tournament"
川 kawa "river, stream; River, the ... river"
川柳 senryuu "senryū, comic haiku"
小川 ogawa "stream, brook, creek"
大 oo "big, large"
大きな ookina "big, large, great"
大変 taihen "very, greatly, terribly, awfully; immense, enormous, great"
土地 tochi "plot of land, lot, soil; locality, region, place"
土 tsuchi "earth, soil, dirt, clay, mud; the earth (historically, esp. as opposed to the heavens), the ground, the land"
土曜日 doyoubi Saturday
死亡 shibou "death, mortality; to die, to pass away"
滅亡 metsubou "downfall, ruin, collapse, destruction"
亡くなる nakunaru "to die"
平凡 heibon "ordinary, common, commonplace, mediocre, unremarkable, undistinguished, uneventful"
凡人 bonjin "ordinary person, average person, mediocre person"
凡庸 bon'you "mediocre, ordinary, commonplace, banal"
万 ban "many, all"
万が一 mangaichi "if by any chance, just in case, in the worst case, in the unlikely event that"
万能 bannou "all-purpose, utility, universal; all-powerful, almighty, omnipotent, all-round (e.g. athlete)"
与え atae "gift, godsend"
与える ataeru "to give (esp. to someone of lower status), to bestow, to grant, to confer, to present, to award; to provide, to afford, to offer, to supply"
給与 kyuuyo "pay, salary, wages; allowance, grant, supply, providing with"
取引 torihiki "transactions, dealings, business"
引き hiki "pull, patronage, influence; tug"
引用 in'you "quotation, citation, reference"
円 en "yen; circle"
日本円 nihon'en "Japanese yen"
円滑 enkatsu "smooth, undisturbed, uninterrupted, harmonious"
王 ou "king, ruler, sovereign, monarch; tycoon, magnate, champion, master"
王子 ouji "prince; subordinate Kumano shrine"
女王 joou queen
化 ka "action of making something, -ification"
変化 henka "change, variation, alteration, mutation, transition, transformation, transfiguration, metamorphosis; variety, diversity"
文化 bunka "culture, civilization, civilisation; Bunka era (1804.2.11-1818.4.22)"
火 hi "fire, flame, blaze"
花火 hanabi fireworks
火曜日 kayoubi Tuesday
牙 kiba "tusk, fang"
象牙 zouge ivory
牙城 gajou "stronghold (esp. of an enemy or opponent), inner citadel, bastion"
紹介 shoukai "introduction, presentation, referral, listing"
介護 kaigo "nursing, care, caregiving, caring"
介入 kainyuu intervention
稲刈り inekari "rice reaping, rice harvesting"
草刈り kusakari "mowing, mower"
刈る karu "to cut (grass, hair, etc.), to mow, to clip, to trim, to prune, to shear, to reap, to harvest"
牛 ushi "cattle (Bos taurus), cow, bull, ox, calf; beef"
牛乳 gyuunyuu "(cow's) milk"
牛肉 gyuuniku beef
凶悪 kyouaku "atrocious, fiendish, brutal, villainous"
凶 kyou "bad luck, bad fortune; evil, wickedness"
凶暴 kyoubou "ferocious, brutal, atrocious, savage, barbarous"
斤量 kinryou weight
斤 kin "kin, catty; loaf (of bread)"
区 ku "ward, district, section"
地区 chiku "district, section, sector"
区別 kubetsu "distinction, differentiation, classification"
欠点 ketten "fault, defect, flaw, weak point, weakness, shortcoming, drawback; failure (in an examination), failing grade"
不可欠 fukaketsu "indispensable, essential"
欠け kake "fragment, splinter; wane (of the Moon)"
月 tsuki "moon; month"
ヶ月 kagetsu "months (period of)"
今月 kongetsu "this month"
犬 inu "dog (Canis (lupus) familiaris); snoop (i.e. a detective, a spy, etc.)"
愛犬 aiken "pet dog, beloved dog"
子犬 koinu "puppy; small dog"
元 moto "origin, source; base, basis, foundation, root"
元気 genki "lively, full of spirit, energetic, vigorous, vital, spirited; healthy, well, fit, in good health"
地元 jimoto "home area, home town; local"
幻想 gensou "fantasy, illusion, vision, dream"
幻 maboroshi "phantom, vision, illusion, dream, apparition"
幻覚 genkaku "hallucination, illusion"
神戸 koube "Kobe (city)"
江戸 edo "Edo (old name of Tokyo)"
戸 to "door (esp. Japanese-style); shutter, window shutter"
五 go five
五月 satsuki "satsuki azalea (Rhododendron indicum)"
五輪 gorin "Olympic rings, Olympics"
お互い otagai "each other, one another"
相互 sougo "mutual, reciprocal"
互換 gokan "interchange; transposition"
午後 gogo "afternoon, p.m."
午前 gozen "morning, a.m."
正午 shougo "noon, midday"
公開 koukai "opening to the public, making available to the public, putting on display, exhibiting, showing (play, movie, etc.), holding (interview, etc.), open, public"
主人公 shujinkou "protagonist, main character, hero(ine) (of a story); head of household"
公園 kouen "(public) park"
勾配 koubai "slope, incline, gradient, grade, pitch; slope (of a linear function)"
勾留 kouryuu "detention pending trial, confinement, custody"
瞳孔 doukou "pupil (of the eye)"
孔子 koushi Confucius
孔雀 kujaku "peafowl (incl. the male peacock, female peahen, and young peachick)"
今 ima "now, the present time, just now, soon, immediately, (one) more"
今日 kyou "today, this day; these days, recently, nowadays"
今回 konkai "now, this time, lately"
支援 shien "support, backing, aid, assistance"
支持 shiji "support, backing, endorsement, approval; support, holding up, propping"
支配 shihai "domination, rule, control; direction, management, guidance"
止め todome "finishing blow, clincher"
停止 teishi "stoppage, coming to a stop, halt, standstill; ceasing (movement, activity, etc.), suspension (of operations), interruption (e.g. of electricity supply), cutting off"
禁止 kinshi "prohibition, inhibition, ban"
氏 uji "family name, lineage, birth; clan"
彼氏 kareshi "boyfriend; he, him"
氏名 shimei "full name, identity"
尺 shaku "shaku (unit of distance approximately equal to 30.3 cm); rule, measure, scale"
尺度 shakudo "gauge, standard, measure, criterion, index; length, size"
尺八 shakuhachi "shakuhachi, end-blown fippleless bamboo flute"
手 te "hand, arm; forepaw, foreleg"
相手 aite "companion, partner, company; other party, addressee"
選手 senshu "player (sports), athlete, team member"
収録 shuuroku "compilation, editing; recording"
収入 shuunyuu "income, receipts, revenue"
収集 shuushuu "collecting, accumulating, gathering; collection (of art, stamps, insects, etc.)"
升 masu "measuring container, measure; box (seating at a theatre, etc.)"
一升瓶 isshoubin "1 sho bottle (1.8 litres)"
少し sukoshi "small quantity, little, few, something; little while"
少ない sukunai "few, a little, scarce, insufficient, seldom"
もう少し mousukoshi "a bit more, a bit longer"
冗談 joudan "jest, joke, funny story"
冗長 jouchou "tedious, verbose, prolix; redundancy"
冗語 jougo "verbiage, wordiness, tautology, blabber, chatter, unnecessary talk"
心 kokoro "mind, heart, spirit; the meaning of a phrase (riddle, etc.)"
心配 shinpai "worry, concern, anxiety, uneasiness, fear; care, help, aid, assistance"
中心 chuushin "center, centre, middle, heart, core, focus, pivot, emphasis, balance; -centered, -centred, -focused, -oriented, centered on, focused on"
仁 jin "benevolence (esp. as a virtue of Confucianism), consideration, compassion, humanity, charity; human"
杏仁 kyounin "apricot seed, apricot kernel"
仁王立ち nioudachi "imposing stance, daunting pose"
水 mizu "water (esp. cool, fresh water, e.g. drinking water); fluid (esp. in an animal tissue), liquid"
水分 suibun "water, liquid, fluid, moisture, humidity, sap, juice"
水道 suidou "water supply, water service, waterworks; channel, strait"
天井 tenjou "ceiling; ceiling price, (price) ceiling"
井 i well
井戸 ido "water well"
大切 taisetsu "important, necessary, indispensable; beloved, precious, dear, cherished, valuable"
切れ kire "piece, slice, strip, scrap; cloth"
一切 issai "all, everything, the whole, lock, stock, and barrel; absolutely not (with negative), without exception, entirely not"
双方 souhou "both parties, both sides"
双子 futago "twins, twin"
双 sou pair
太陽 taiyou sun
太 futo "fat, fatty; grand, magnificent, excellent"
太平洋 taiheiyou "Pacific Ocean"
丹念 tannen "painstaking, careful, meticulous, scrupulous, detailed, elaborate"
牡丹 botan "tree peony (Paeonia suffruticosa), moutan; wild boar (meat)"
丹 ni "red earth (i.e. containing cinnabar or minium), vermilion"
中 naka "inside, in; among, within"
中国 chuugoku "China; central part of a country, main region"
途中 tochuu "on the way, en route; in the middle of, midway"
弔い tomurai "funeral, burial, condolence"
弔辞 chouji "message of condolence, memorial address"
弔問 choumon "condolence call"
爪 tsume "nail (e.g. fingernail, toenail), claw, talon, hoof; plectrum, pick"
爪跡 tsumeato "fingernail mark, scratch; scars (e.g. of war), traces (of damage), ravages, after-effects"
爪楊枝 tsumayouji toothpick
天気 tenki "weather, the elements; fair weather, fine weather"
天 ten "sky; heaven"
天然 tennen "nature, spontaneity"
斗 to "to; square bearing block (at the top of a pillar)"
北斗七星 hokutoshichisei "the Big Dipper (asterism), the Plough, the Plow"
熨斗 noshi "long thin strip of dried sea-ear or paper attached to a gift"
駐屯 chuuton "stationing (troops), occupancy"
屯 tamuro "gathering, place where people gather"
屯所 tonsho "post, quarters, military station, police station"
内容 naiyou "contents, content, substance, matter, detail, import"
内 uchi "inside, within; while"
国内 kokunai "internal, domestic"
匂い nioi "odour, odor, scent, smell, stench; aura, whiff, smacks of ..., sense, flavour, flavor"
匂わせる niowaseru "to give off (a smell, scent, aroma), to smell of, to perfume (a room, etc.); to hint at, to suggest, to insinuate"
匂う niou "to be fragrant, to smell (good); to stink, to smell (bad)"
日 hi "day, days; sun, sunshine, sunlight"
日本 nihon Japan
今日 kyou "today, this day; these days, recently, nowadays"
反応 hannou "reaction, response"
反対 hantai "opposition, resistance, antagonism, hostility, objection, dissent; reverse, opposite, inverse, contrary"
反省 hansei "reflection, reconsideration, introspection, meditation, contemplation; regret, repentance, remorse, being sorry"
比べ kurabe "contest, comparison, competition"
比較 hikaku comparison
比較的 hikakuteki "comparatively, relatively"
匹 hiki "counter for small animals; counter for rolls of cloth (two han in size)"
匹敵 hitteki "to be a match for, to rival, to equal, to compare with, to be equivalent to"
一匹狼 ippikiookami "lone wolf, loner, self-reliant person"
不安 fuan "anxiety, uneasiness, worry, apprehension, fear, insecurity, suspense"
不思議 fushigi "wonderful, marvelous, strange, incredible, amazing, curious, miraculous, mysterious"
不足 fusoku "insufficiency, shortage, deficiency, lack, dearth"
大丈夫 daijoubu "safe, secure, sound, problem-free, without fear, all right, alright, OK, okay; certainly, surely, undoubtedly"
夫 otto husband
夫婦 fuufu "married couple, husband and wife, man and wife; his and hers"
父 chichi father
父親 chichioya father
お父さん otousan "father, dad, papa, pa, pop, daddy, dada; husband"
仏 butsu "Buddha, Buddhism"
仏教 bukkyou Buddhism
仏語 futsugo "French (language)"
自分 jibun "myself, yourself, oneself, himself, herself; I, me"
分 fun "minute (unit of time); fun (one tenth of a monme, 5.787 grains)"
部分 bubun "portion, section, part"
文字 moji "letter (of alphabet), character; writing"
文化 bunka "culture, civilization, civilisation; Bunka era (1804.2.11-1818.4.22)"
文章 bunshou "writing, composition, essay, article, prose, (writing) style; sentence"
片付け katazuke "tidying up, finishing"
片手 katate "one hand"
片方 katahou "one side, one party, counterpart, the other side, the other party; one of a pair, fellow, mate"
方 kata "direction, way; person, lady, gentleman"
方法 houhou "method, process, manner, way, means, technique"
一方 ippou "one (esp. of two), the other, one way, the other way, one direction, the other direction, one side, the other side, one party, the other party; on the one hand, on the other hand"
貧乏 binbou "poverty-stricken, destitute, poor, penurious"
乏しい toboshii "meagre, meager, scarce, limited, destitute, hard up, lacking, scanty, poor"
貧乏人 binbounin "poor person, pauper, the poor, the indigent"
木 ki "tree, shrub, bush; wood, timber"
木曜日 mokuyoubi Thursday
木々 kigi "(many) trees, every tree, all kinds of trees"
毛 ke "hair; fur, wool"
脱毛 datsumou "hair loss; hair removal, epilation, depilation"
髪の毛 kaminoke "hair (head)"
厄介 yakkai "trouble, burden, nuisance, bother, worry; care, dependence, support, kindness, obligation, staying (with a person)"
厄 yaku "misfortune, bad luck, evil, disaster"
厄払い yakuharai "exorcism, ceremonial cleansing from evil influence"
友達 tomodachi "friend, companion"
友人 yuujin friend
友 tomo "friend, companion, comrade, pal; accompaniment, companion (e.g. book), complement, accessory"
予定 yotei "plans, arrangement, schedule, program, programme, expectation, estimate"
予想 yosou "expectation, anticipation, prediction, forecast, conjecture"
予約 yoyaku "reservation, appointment, booking, advance order; contract, subscription, pledge"
六 roku six
六角形 rokkakkei hexagon
六つ muttsu six
圧力 atsuryoku "pressure, stress; pressure (e.g. political), coercion, arm-twisting"
圧倒的 attouteki overwhelming
圧 atsu "pressure, force"
以上 ijou "not less than, ... and more, ... and upwards; beyond ... (e.g. one's means), further (e.g. nothing further to say), more than ... (e.g. cannot pay more than that)"
以外 igai "with the exception of, excepting"
以前 izen "ago, since, before, previous"
右 migi "right, right hand side; afore-mentioned (esp. in vertical Japanese writing), foregoing, forgoing, above"
左右 sayuu "left and right; influence, control, domination"
右側 migigawa "right side, right hand"
永遠 eien "eternity, perpetuity, permanence, immortality"
永久 eikyuu "eternity, permanence, perpetuity; Eikyū era (1113.7.13-1118.4.3)"
安永 an'ei "An'ei era (1772.11.16-1781.4.2)"
凹む hekomu "to be dented, to be indented, to yield, to give, to sink, to collapse, to cave in; to be beaten, to be overwhelmed, to yield, to give in, to give up"
凹凸 outotsu "unevenness, bumpiness, roughness, ruggedness; imbalance, inequality, unevenness, disparity"
凹み kubomi "hollow, cavity, dent, depression"
中央 chuuou "centre, center, middle, heart; metropolis, capital city, central government"
央 ou "middle, centre, center"
中央アジア chuuouajia "central Asia"
参加 sanka participation
追加 tsuika "addition, supplement, appending, appendix"
増加 zouka "increase, rise, growth, addition, increment"
可能 kanou "possible, potential, practicable, feasible"
可愛い kawaii "cute, adorable, charming, lovely, pretty; dear, precious, darling, pet"
不可能 fukanou impossible
瓦礫 gareki "rubble, debris, wreckage"
瓦 guramu "gram, gramme"
煉瓦 renga brick
以外 igai "with the exception of, excepting"
外 soto "outside, exterior; open air"
海外 kaigai "foreign, abroad, overseas"
且つ katsu "yet, moreover, and"
刊行 kankou "publication, issue"
創刊 soukan "launching (e.g. newspaper), first issue"
週刊 shuukan "weekly publication"
甘い amai "sweet-tasting, sweet, sugary, sugared; fragrant (smelling), sweet (music)"
甘え amae "lack of self-reliance, depending on others"
甘味 amami "sweetness, sugary taste; sweets, dessert, cake"
丘 oka "hill, height, knoll, rising ground; bonus points awarded to the winner at the end of a game"
砂丘 sakyuu "sand dune, sand hill"
丘陵 kyuuryou hill
旧 kyuu "ex-, former, old"
復旧 fukkyuu "restoration, restitution, rehabilitation"
旧来 kyuurai "traditional, from ancient times, formerly"
過去 kako "the past, bygone days, the previous; a past (i.e. a personal history one would prefer remained secret), one's past"
去年 kyonen "last year"
除去 jokyo "removal, getting rid of"
巨大 kyodai "huge, gigantic, enormous"
巨人 kyojin "giant, great man"
巨額 kyogaku "great sum"
玉 tama "ball, sphere, globe, orb; bead (of sweat, dew, etc.), drop, droplet"
目玉 medama eyeball
埼玉 saitama "Saitama (city)"
句 ku "section (i.e. of text), sentence, passage, paragraph; phrase"
俳句 haiku haiku
句集 kushuu "collection of haiku poems"
兄 ani "elder brother, older brother"
兄弟 kyoudai "siblings, brothers and sisters; brothers"
兄さん niisan "older brother, elder brother; brother (as older-brother figure in friendly and or work relationship)"
穴 ana "hole, opening, perforation; pit, hollow, hole (in the ground, etc.)"
毛穴 keana "pore (of the skin)"
落とし穴 otoshiana "pitfall, trap, pit"
玄関 genkan "entrance, front door, entryway, entranceway, entry hall, vestibule, porch, foyer, mud room"
玄米 genmai "unpolished rice, unmilled rice, brown rice"
玄人 kurouto "expert, professional, master, connoisseur; woman in the nightlife business, demimondaine, geisha and prostitutes"
古い furui "old, aged, ancient, antiquated, antique, timeworn; long, since long ago, time-honored"
名古屋 nagoya "Nagoya (city)"
中古 chuuko "used, second-hand, old; Middle Ages"
成功 seikou "success, hit"
功績 kouseki "achievements, merit, meritorious service, meritorious deed"
功 kou "merit, success, meritorious deed; achievement, accumulated experience"
巧み takumi "skillful, adroit, dexterous, masterful, clever, ingenious, cunning"
巧妙 koumyou "ingenious, skillful, clever, deft"
技巧 gikou "technique, finesse"
広告 koukoku "advertisement, advertising; announcement, notice"
広い hiroi "spacious, vast, wide"
広く hiroku "widely, far and wide, extensively, universally"
甲斐 kai "effect, result, worth, use, avail"
甲状腺 koujousen "thyroid gland"
甲 kou "carapace, shell; 1st in rank, grade A"
号 gou "number, edition, make, model, issue, part of that group; sobriquet, pen-name"
番号 bangou "number, series of digits"
信号 shingou "signal, signalling, signaling; traffic light, traffic signal"
書き込み kakikomi "writing; entry (e.g. to a form)"
申し込み moushikomi "application, entry, request, subscription, offer, proposal, overture, challenge"
込み komi "including, inclusive of"
左 hidari "left, left hand side"
左右 sayuu "left and right; influence, control, domination"
左側 hidarigawa "left, left (hand) side"
冊 satsu "counter for books"
冊子 sasshi "book, booklet, story book, pamphlet, notebook"
短冊 tanzaku "long, narrow card on which Japanese poems are written (vertically), strip of paper"
札幌 sapporo "Sapporo (city)"
札 satsu "banknote, bill, note, paper money"
改札 kaisatsu "examination of tickets"
皿 sara "plate, dish, platter, disc; serving, helping, course"
灰皿 haizara ashtray
受け皿 ukezara "saucer; person (group, institution, etc.) to take over a position or matter, receptacle (e.g. of funds), receiver"
仕事 shigoto "work, job, business, occupation, employment, vocation, task; work"
仕方 shikata "way, method, means, resource, course"
仕様 shiyou "way, method, means, resource, remedy; (technical) specification"
歴史 rekishi history
史 shi history
史上 shijou "in history, ever, historical"
上司 joushi "(one's) superior, (one's) boss, the higher-ups"
寿司 sushi "sushi, anything made with vinegared rice (may also contain vegetables, spices, fish, or other delicacies)"
司会 shikai "leading a meeting, presiding over a meeting, officiating at a ceremony, chairmanship; chairman, presenter, host, moderator, master of ceremonies"
四 shi four
四国 shikoku "Shikoku (smallest of the four main islands of Japan)"
四月 yotsuki "four months"
市 ichi "market, fair"
市場 ichiba "(town) market; (the) marketplace"
市民 shimin "citizen, citizenry, public; city inhabitant, townspeople"
矢 ya "arrow; wedge, chock"
矢先 yasaki "arrowhead; target of a flying arrow, brunt (of an attack)"
矢印 yajirushi "arrow (symbol)"
表示 hyouji "indication, expression, showing, manifestation, demonstration; display, displaying"
展示 tenji "exhibition, display"
示し shimeshi "lesson, discipline, example (e.g. set a bad example); revelation"
叱り shikari scolding
叱咤 shitta "scolding, rebuke, reprimand; fierce encouragement, exhorting"
叱責 shisseki "reprimand, rebuke"
失敗 shippai "failure, mistake, blunder"
失礼 shitsurei "discourtesy, impoliteness; excuse me, goodbye"
失業 shitsugyou "unemployment; losing one's job, becoming unemployed"
写真 shashin "photograph, photo, picture, snapshot, snap; movie"
描写 byousha "depiction, description, portrayal"
写生 shasei "sketching, drawing from nature, portrayal, description"
主義 shugi "doctrine, rule, principle, -ism"
主 omo "chief, main, principal, important"
主張 shuchou "claim, insistence, assertion, advocacy, emphasis, contention, opinion, tenet"
囚人 shuujin prisoner
囚徒 shuuto "prisoner, convict"
汁 shiru "juice, sap; soup, broth"
味噌汁 misoshiru "miso soup"
果汁 kajuu "fruit juice"
出 de "coming out, going out, outflow, efflux, rising (of the Sun or the Moon); attending (work), appearing (on stage), one's turn to go on"
出来 shuttai "occurrence, happening, taking place"
出し dashi "dashi (Japanese soup stock made from fish and kelp); pretext, excuse, pretense (pretence), dupe, front man"
処理 shori "processing, dealing with, treatment, disposition, disposal"
対処 taisho "dealing with, coping with"
何処 doko "where, what place; how much (long, far), what extent"
召喚 shoukan "summons, summonsing, citation, subpoena, arraigning, calling, summoning"
召し meshi "summons, call"
召集 shoushuu "convening, calling together (e.g. parliament), call-up (for military service)"
尻 shiri "buttocks, behind, rump, bottom; undersurface, bottom"
尻尾 shippo "tail (animal)"
尻目 shirime "backward glance, sidelong glance; faceless ghost with an eye in its rump"
申し訳 moushiwake "apology, excuse"
申請 shinsei "application, request, petition"
申し込み moushikomi "application, entry, request, subscription, offer, proposal, overture, challenge"
世界 sekai "the world, society, the universe; sphere, circle, world"
世代 sedai "generation, the world, the age"
世の中 yononaka "society, the world, the times"
正直 shoujiki "honest, frank, candid, straightforward; honestly, frankly"
正しい tadashii "right, correct; proper, righteous, just, honest, truthful, lawful"
修正 shuusei "amendment, correction, revision, modification, alteration, retouching, update, fix"
生活 seikatsu "living, life (one's daily existence), livelihood"
先生 sensei "teacher, master, doctor; with names of teachers, etc. as an honorific"
生き iki "living, being alive; freshness, liveliness, vitality"
排斥 haiseki "rejection, expulsion, boycott, ostracism"
石 ishi "stone; gem, jewel"
石油 sekiyu "oil, petroleum, kerosene"
流石 sasuga "as one would expect; still, all the same"
仙台 sendai "Sendai (city)"
仙 sento "cent (monetary unit)"
歌仙 kasen "great poet"
占い uranai "fortune-telling, divination"
独占 dokusen "monopoly, monopolization, exclusivity; hogging, keeping to oneself"
占める shimeru "to occupy, to hold; to account for, to make up, to take up"
他 hoka "other (place, thing, person), the rest; outside, beyond"
その他 sonohoka "etc., otherwise, besides, in addition, the rest, the others, and so forth"
他人 tanin "another person, other people, others; unrelated person (i.e. not related by blood)"
打っ bu "strongly, violently, quickly, suddenly"
打つ utsu "to hit, to strike, to knock, to beat, to punch, to slap, to tap, to bang, to clap, to pound; to strike (noon, etc.), to sound (cymbals, etc.), to beat (a drum, etc.)"
打ち合わせ uchiawase "advance arrangements, preparatory meeting, briefing session; overlap (of a coat, etc.)"
時代 jidai "period, epoch, era, age; the times, those days"
代 shiro "substitution; material"
代表 daihyou "representative, representation, delegation, type, example, model"
台 dai "stand, rack, table, bench, podium, pedestal, platform, stage; support, holder, rack"
舞台 butai "stage (theatre, theater); scene or setting (e.g. of novel, play, etc.)"
台風 taifuu "typhoon, hurricane"
旦那 danna "master (of a house, shop, etc.); husband (informal)"
一旦 ittan "once; for a short time, briefly, temporarily"
元旦 gantan "New Year's Day; New Year's morning, morning of New Year's Day"
省庁 shouchou "ministries and government offices, the authorities"
庁 chou "government office, agency, board"
警視庁 keishichou "Metropolitan Police Department (esp. Tokyo)"
田舎 inaka "rural area, countryside, the sticks; hometown"
田 ta "rice field"
上田 jouden "high rice field, very fertile rice field"
奴 yakko "servant (esp. a samurai's attendant); chivalrous man (c. Edo period)"
奴隷 dorei "slave, servant; slavery"
奴ら yatsura "they, those guys"
冬 fuyu winter
冬場 fuyuba "the winter season"
真冬 mafuyu midwinter
凹凸 outotsu "unevenness, bumpiness, roughness, ruggedness; imbalance, inequality, unevenness, disparity"
凸 deko "brow, forehead; bump"
凸凹 dekoboko "unevenness, roughness, ruggedness, bumpiness; inequality, imbalance, unevenness, difference"
丼 donburi "porcelain bowl"
天丼 tendon "tempura served over a bowl of rice; (in comedy) repeating the same gag or silly line"
うな丼 unadon "bowl of eel and rice (donburi)"
尼 ama "nun; Amagasaki, Hyogo"
釈迦牟尼 shakamuni "Gautama Buddha, Shakyamuni, the historical Buddha (5th c. BCE?)"
尼寺 amadera "nunnery, convent"
面白い omoshiroi "interesting, fascinating, intriguing, enthralling; amusing, funny, comical"
